,BPS_School_Name,BPS_Address,BRA_Neighborhood,SMMA_latitude,SMMA_longitude,SMMA_Typology,BPS_Grades_Offered,BPS_GSF,SMMA_Site_Acres,BPS_Year_Founded,BPS_Year_Built,BPS_Principal,BPS_Open,BPS_Close,DOE_PK,DOE_K,GSF/StudentValue,BPS_KWH,BPS_Electric_Bill,BPS_Therms,BPS_Gas_Bill,BPS_Water_Bill,BPS_Total_Energy_Cost,SMMA_FA_Overall_Building_Condition,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_Overall_Site_Condition,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_EA_Building_Ventilation,SMMA_EA_Building_Natural_Daylighting,SMMA_EA_Building_Air_Quality,SMMA_EA_site_includes_Playgrounds,SMMA_EA_site_includes_PlayFields
123,"Taylor, Charles H. Elementary","1060 Morton St Mattapan, MA 02126",Mattapan,42.277404,-71.0776112,Elementary School,K0-5,49702.0,1.46932966,1931,1931.0,Jennifer Marks,9:30:00 AM,3:30:00 PM,16.0,63.0,157.0,132046.0,21044.0,16125.0,18973.0,10194.0,50211.0,Fair,Moderate,Adequate,Fair,Yes,No,No,Fair,Poor,Good,Poor,Yes,No
124,TechBoston Academy,"9 Peacevale Rd Dorchester, MA 02124",Dorchester,42.2852738,-71.07585949999999,High School,6-12,183534.0,6.922704316,2002,1925.0,Nora E. Vernazza,7:30:00 AM,2:30:00 PM,0.0,0.0,201.0,262942.0,40373.0,34283.0,46670.0,18619.0,105662.0,Fair,Moderate,Minor,Fair,No,Yes,Yes,Fair,Poor,Fair,Poor,No,No
125,"Timilty, James P. Middle","205 Roxbury St Roxbury, MA 02119",Roxbury,42.3305905,-71.09120759999999,Middle School,6-8,83120.0,1.536225895,1937,1937.0,Renee K McCall,7:30:00 AM,3:10:00 PM,0.0,0.0,187.0,241040.0,38010.0,30316.0,40017.0,10188.0,88215.0,Fair,Moderate,Adequate,Fair,Yes,No,Yes,Fair,Poor,Fair,Poor,No,No
126,"Tobin, Maurice J. K-8","40 Smith St Roxbury, MA 02120",Mission Hill,42.333023,-71.098334,K-8,K0-8,64091.0,0.9959136820000001,1959,1959.0,Efrain Toledano,9:30:00 AM,3:30:00 PM,10.0,58.0,203.0,212880.0,35357.0,29183.0,39072.0,9384.0,83813.0,Fair,Moderate,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Good,Poor,No,No
127,"Trotter, William Monroe K-8","135 Humboldt Ave Dorchester, MA 02121",Roxbury,42.3157564,-71.0879868,K-8,K1-7,79600.0,3.25094123,1968,1969.0,Mairead Nolan,7:30:00 AM,2:00:00 PM,51.0,62.0,212.0,427248.0,64986.0,47375.0,59535.0,12968.0,137489.0,Good,Replace,Minor,Fair,No,Yes,Yes,Fair,Poor,Good,Poor,Yes,No
128,"Tynan, Joseph P. Elementary","650 E Fourth St South Boston, MA02127",South Boston,42.3345263,-71.0390073,Elementary School,K0-5,120000.0,2.327525253,1972,1972.0,Leslie Gant,8:30:00 AM,2:30:00 PM,44.0,34.0,175.0,509040.0,85301.0,58847.0,66127.0,26583.0,178011.0,Good,Replace,Minor,Fair,Yes,No,Yes,Fair,Good,Good,Fair,Yes,No
129,"Umana Academy, Mario K-8","312 Border St East Boston, MA 02128",East Boston,42.3783625,-71.0407417,K-8,K2-8,162479.0,9.261822772999999,1975,1975.0,Alexandra Montes McNeil,7:20:00 AM,4:15:00 PM,0.0,69.0,161.0,213504.0,146751.0,181734.0,188508.0,21583.0,356842.0,Good,Replace,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Fair,Fair,Yes,Yes
133,Urban Science Academy*,"1205 VFW Pkwy West Roxbury, MA 02132",West Roxbury,42.282206,-71.1745491,High School,9-12,108220.0,44.49949495,2011,1976.0,"Jeff Cook, Interim Headmaster",7:20:00 AM,1:40:00 PM,0.0,0.0,225.0,1097520.0,294332.0,257019.0,258704.0,36183.0,589219.0,Good,Adequate,Minor,Good,No,No,No,Good,Fair,Good,Fair,No,Yes
134,Warren/Prescott K-8 Lower,"50 School St Charlestown, MA 02129",Charlestown,42.3778928,-71.0646338,K-8,K0-6,46884.0,1.811616162,2006,1963.0,Michele Davis,8:30:00 AM,2:30:00 PM,31.0,63.0,159.0,129600.0,23348.0,17623.0,20697.0,16324.0,60369.0,Good,Moderate,Minor,Fair,Yes,No,Yes,Fair,Poor,Good,Poor,Yes,No
137,West Zone Early Learning Center*,"200 Heath St Jamaica Plain, MA 02130",Jamaica Plain,42.326026,-71.106821,Early Learning,K0-1,27000.0,5.672222222,1997,1972.0,Jean Larrabee,7:30:00 AM,4:35:00 PM,24.0,34.0,200.0,120384.0,74435.0,267450.0,276004.0,37653.0,388092.0,Good,Minor,Moderate,Good,Yes,Yes,Yes,Good,Fair,Fair,Fair,Yes,No
138,"Winship, F. Lyman Elementary","54 Dighton St Brighton, MA 02135",Brighton,42.3477234,-71.15496479999999,Elementary School,K0-5,41016.0,0.788246097,1899,1901.0,Nadine Marcellus,9:30:00 AM,3:30:00 PM,23.0,33.0,180.0,128480.0,20522.0,15656.0,18100.0,5394.0,44016.0,Fair,Replace,Adequate,Fair,Yes,Yes,Yes,Fair,Poor,Poor,Poor,Yes,No
139,"Winthrop, John Elementary","35 Brookford St Dorchester, MA 02125",Roxbury,42.3183868,-71.07534059999999,Elementary School,K1-5,40530.0,0.846166208,1911,1911.0,Leah Blake,8:30:00 AM,3:00:00 PM,28.0,60.0,175.0,138240.0,20594.0,16897.0,19484.0,7457.0,47535.0,Fair,Not Present,Adequate,Fair,No,Yes,Yes,Fair,Poor,Fair,Poor,Yes,No
140,Young Achievers Science & Math K-8,"20 Outlook Rd Mattapan, MA02126",Mattapan,42.2819763,-71.0939094,K-8,K1-8,120944.0,4.017378329,1995,1930.0,Virginia Chalmers,8:30:00 AM,4:00:00 PM,34.0,48.0,195.0,385248.0,53897.0,36421.0,56973.0,11457.0,122327.0,Good,Moderate,Minor,Fair,Yes,Yes,Yes,Fair,Poor,Good,Poor,Yes,Yes
